ID,HousePrice,yhat,delta
7857,919497.0,660072.2972680625,259424.70273193752
1641,283680.0,289177.79297644366,-5497.792976443656
3620,135818.0,166619.49465333688,-30801.49465333688
2820,468742.0,398384.28451047535,70357.71548952465
1572,311065.0,389518.4899596194,-78453.48995961942
202,228740.0,198964.59339845268,29775.40660154732
8169,260611.0,294784.6602290218,-34173.6602290218
6212,199843.0,210704.12894275767,-10861.12894275767
6754,273619.0,260715.37364563262,12903.626354367385
5197,334528.0,313213.81469183473,21314.185308165266
5170,371797.0,411610.51049034804,-39813.51049034804
3987,129547.0,124654.76735315606,4892.232646843942
8088,241878.0,193002.0131398495,48875.9868601505
1181,544164.0,503632.37396170624,40531.62603829376
5703,233936.0,248737.98668513418,-14801.98668513418
7979,340244.0,310809.29178199416,29434.708218005835
2546,673459.0,670056.0497525127,3402.950247487286
5831,219892.0,261525.21342596368,-41633.21342596368
2288,136479.0,178225.26147093187,-41746.26147093187
7372,284417.0,262588.54457176226,21828.455428237736
8553,401696.0,313633.7453586321,88062.25464136788
605,400036.0,503496.1557138086,-103460.1557138086
7343,502384.0,454250.3455286312,48133.65447136882
6956,432570.0,460794.6943775055,-28224.69437750551
6787,271336.0,208790.6741079248,62545.3258920752
8790,259581.0,283810.44718933845,-24229.447189338447
8875,368614.0,395641.2505922316,-27027.250592231576
5222,449834.0,440874.4668988775,8959.533101122477
6583,268084.0,249646.31523039407,18437.684769605927
4457,326357.0,410688.6879428132,-84331.68794281321
3798,513051.0,499357.1199055849,13693.8800944151
8692,484256.0,663018.1510235488,-178762.1510235488
9185,391848.0,498606.70970516076,-106758.70970516076
9170,289229.0,303536.62959075504,-14307.629590755037
6922,396836.0,566598.854444813,-169762.85444481298
1816,299874.0,315679.89577785763,-15805.89577785763
889,453808.0,389502.65466081514,64305.34533918486
2315,197244.0,197667.9296204294,-423.9296204294078
3837,348815.0,331519.1229527244,17295.8770472756
8611,573658.0,590494.8504976971,-16836.85049769713
5917,269948.0,237208.2318819546,32739.76811804541
6719,133645.0,110666.40868751096,22978.591312489036
5994,367737.0,462189.7868009692,-94452.78680096922
9266,252230.0,233527.08907518667,18702.91092481333
4038,104509.0,110147.09100402713,-5638.0910040271265
2556,559989.0,429561.04906372126,130427.95093627874
3330,300314.0,334262.3749358183,-33948.37493581831
9027,112586.0,108427.70839041498,4158.291609585023
486,225432.0,228535.07529446142,-3103.0752944614214
5064,421310.0,469407.74288811133,-48097.74288811133
